Comunidad,Ratio generación-consumo,Energía generada,Energía consumida
Andalucía,74.60%,29.586 GWh,39.634 GWh
Aragón,183.50%,19.218 GWh,10.471 GWh
Canarias,100%,8.061 GWh,8.061 GWh
Cantabria,42.30%,1.693 GWh,4.004 GWh
Castilla y León,197.60%,27.016 GWh,13.670 GWh
Castilla-La Mancha,192.70%,23.129 GWh,12.004 GWh
Cataluña,89.20%,39.860 GWh,44.666 GWh
Ceuta,100%,197 GWh,197 GWh
Comunidad de Madrid,4.90%,205 GWh,27.413 GWh
Comunidad Foral de Navarra,171.90%,8.678 GWh,5.050 GWh
Comunidad Valenciana,66.70%,17.924 GWh,26.887 GWh
Extremadura,487.70%,24.677 GWh,5.060 GWh
Galicia,138.30%,24.211 GWh,17.510 GWh
Islas Baleares,83.90%,4.637 GWh,5.528 GWh
La Rioja,132.30%,2.161 GWh,1.633 GWh
Melilla,100%,205 GWh,205 GWh
País Vasco,42.90%,6.814 GWh,15.901 GWh
Principado de Asturias,121.60%,11.255 GWh,9.253 GWh
Región de Murcia,99.10%,9.248 GWh,9.333 GWh